科目区分,必修区分,授業科目,単位数,担当教員
一般,必修選択,英語演習ⅠB,1,"小澤 健志,豊岡 めぐみ,岩崎 洋一"
一般,必修選択,英会話ⅠB,1,"岩崎 洋一,瀬川 直美,GRANT James,Shion Heigen"
一般,必修選択,哲学A,2,小谷 俊博
一般,必修選択,経済学A,2,武長 玄次郎
一般,必修選択,社会学A,2,"小谷 俊博,高石 憲明"
一般,必修選択,哲学B,2,小谷 俊博
一般,必修選択,経済学B,2,武長 玄次郎
一般,必修選択,社会学B,2,"小谷 俊博,高石 憲明"
一般,選択,ドイツ語ⅡA,1,柴田 育子
一般,選択,中国語ⅠA,1,"武長 玄次郎,儲 暁菲,安 平,田 力"
一般,選択,ドイツ語ⅡB,1,柴田 育子
一般,選択,中国語ⅠB,1,"武長 玄次郎,儲 暁菲,安 平,田 力"
一般,選択,日本文化論,1,"加藤 達彦,田嶋 彩香"
一般,必修,日本語ⅡA,1,"田嶋 彩香,小高 愛"
一般,必修,日本語ⅡB,1,"田嶋 彩香,小高 愛"
専門,必修,コンピュータアーキテクチャⅢ,1,能城  沙織
専門,必修,インターフェース回路,1,和﨑 浩幸
専門,必修,プログラミング言語Ⅰ,2,大枝 真一
専門,必修,プログラミング言語Ⅱ,2,大枝 真一
専門,必修,言語処理系Ⅰ,2,丸山 真佐夫
専門,必修,言語処理系Ⅱ,2,丸山 真佐夫
専門,必修,オペレーティングシステムⅠ,2,和﨑 浩幸
専門,必修,オペレーティングシステムⅡ,2,和﨑 浩幸
専門,必修,計算機インターフェースⅠ,2,栗本 育三郎
専門,必修,計算機インターフェースⅡ,2,栗本 育三郎
専門,必修,情報セキュリティⅠ,2,米村 恵一
専門,必修,情報セキュリティⅡ,2,米村 恵一
専門,必修,プレゼンテーション技法,1,SAPKOTA ACHYUT
専門,必修,プログラミング演習ⅢA,1,丸山 真佐夫
専門,必修,プログラミング演習ⅢB,1,丸山 真佐夫
専門,必修,実験・実習Ⅳ,1,"丸山 真佐夫,和﨑 浩幸"
専門,必修,工業英語,1,SAPKOTA ACHYUT
専門,必修,課題研究,2,"SAPKOTA ACHYUT,大枝 真一,齋藤 康之,丸山 真佐夫,米村 恵一,和﨑 浩幸,和田 州平,吉澤 陽介,栗本 育三郎,能城  沙織"
専門,必修選択,応用数学A,2,田所 勇樹
専門,必修選択,応用数学B,2,鈴木 道治
専門,必修選択,統計学,2,平井 隼人
専門,選択,学外実習,2,SAPKOTA ACHYUT
一般,必修,体育Ⅲ,1,"清野 哲也,佐々木 康允,坂田 洋満"
